src,cond,task,seed,repeat,run_id,success,result,mechanism,turns,n_picks,hold_turn,n_release,rel_fails,first_release_turn,stall_span,moves_after_hold,perc_after_hold,guard_blocks,near_repeat_rate
pg,hardcap,9,4,3,20260818-10:17:46_hardcap_libero_spatial_task_t9_s4_r3,False,success,place_fail,40,3,20,1,1,29,9,6,10,0,0.29
pg,hardcap,9,5,2,20260818-10:19:24_hardcap_libero_spatial_task_t9_s5_r2,False,policy_fail,place_fail,40,1,24,1,1,36,12,5,9,0,0.0
pg,hardcap,9,5,1,20260818-10:18:53_hardcap_libero_spatial_task_t9_s5_r1,False,policy_fail,place_fail,40,2,22,1,1,40,18,5,10,1,0.08
pg,hardcap,9,5,3,20260818-10:19:45_hardcap_libero_spatial_task_t9_s5_r3,False,policy_fail,place_stall,40,2,19,0,0,,,5,14,2,0.0
pg,hardcap,9,6,3,20260818-10:24:06_hardcap_libero_spatial_task_t9_s6_r3,True,success,success,34,1,19,1,0,32,13,5,6,1,0.0
pg,hardcap,9,7,3,20260818-10:27:39_hardcap_libero_spatial_task_t9_s7_r3,True,success,success,37,1,25,1,0,34,9,3,5,1,0.2
pg,hardcap,9,7,1,20260818-10:26:25_hardcap_libero_spatial_task_t9_s7_r1,True,success,success,31,1,18,1,0,28,10,4,5,1,
pg,hardcap,9,6,2,20260818-10:24:01_hardcap_libero_spatial_task_t9_s6_r2,False,success,place_partial,40,4,19,1,0,40,21,5,11,0,0.33
pg,hardcap,9,8,1,20260818-10:29:41_hardcap_libero_spatial_task_t9_s8_r1,True,success,success,34,1,17,1,0,31,14,4,9,2,0.0
pg,hardcap,9,7,2,20260818-10:27:11_hardcap_libero_spatial_task_t9_s7_r2,False,success,place_partial,40,2,12,2,1,27,15,13,10,1,0.0
pg,hardcap,9,8,2,20260818-10:29:57_hardcap_libero_spatial_task_t9_s8_r2,False,policy_fail,place_fail,40,1,18,1,1,29,11,6,14,1,0.0
pg,hardcap,9,8,3,20260818-10:30:39_hardcap_libero_spatial_task_t9_s8_r3,False,policy_fail,place_fail,40,1,18,1,1,32,14,7,12,1,0.1
pg,hardcap,9,9,2,20260818-10:35:25_hardcap_libero_spatial_task_t9_s9_r2,True,success,success,26,1,13,1,0,24,11,5,4,0,0.0
pg,hardcap,9,9,1,20260818-10:33:23_hardcap_libero_spatial_task_t9_s9_r1,False,policy_fail,place_stall,40,1,18,0,0,,,6,15,3,0.18
pg,hardcap,9,10,2,20260818-10:38:24_hardcap_libero_spatial_task_t9_s10_r2,True,success,success,30,1,12,1,1,27,15,6,9,2,0.0
pg,hardcap,9,10,1,20260818-10:37:13_hardcap_libero_spatial_task_t9_s10_r1,False,policy_fail,place_fail,40,1,18,1,1,36,18,7,12,0,0.0
pg,hardcap,9,9,3,20260818-10:35:50_hardcap_libero_spatial_task_t9_s9_r3,False,policy_fail,place_fail,40,1,20,1,1,35,15,7,8,2,0.5
pg,hardcap,9,10,3,20260818-10:39:25_hardcap_libero_spatial_task_t9_s10_r3,False,policy_fail,place_fail,40,2,20,1,1,40,20,8,9,1,0.11
sm,structured,0,3,1,20260818-15:51:59_structured_libero_spatial_task_t0_s3_r1,True,success,success,22,1,11,1,1,20,9,5,2,0,0.0
sm,structured,0,5,1,20260818-15:51:59_structured_libero_spatial_task_t0_s5_r1,True,success,place_stall,21,2,12,0,0,,,3,3,0,0.0
sm,structured,0,4,1,20260818-15:51:59_structured_libero_spatial_task_t0_s4_r1,False,policy_fail,place_fail,40,2,16,1,1,29,13,9,12,0,0.0
sm,structured,0,2,1,20260818-15:51:59_structured_libero_spatial_task_t0_s2_r1,False,success,place_fail,40,2,26,1,1,37,11,2,9,0,0.1
sm,structured,0,6,1,20260818-15:51:59_structured_libero_spatial_task_t0_s6_r1,True,success,success,22,1,11,1,0,20,9,2,5,0,0.0
sm,structured,0,7,1,20260818-15:51:59_structured_libero_spatial_task_t0_s7_r1,True,success,place_stall,35,1,23,0,0,,,2,5,0,0.12
sm,structured,0,1,1,20260818-15:51:59_structured_libero_spatial_task_t0_s1_r1,False,policy_fail,no_pick,12,0,,0,0,,,0,0,0,0.0
sm,structured,0,8,1,20260818-15:51:59_structured_libero_spatial_task_t0_s8_r1,False,policy_fail,place_fail,40,3,12,1,1,23,11,10,12,0,0.0
sm,structured,0,10,1,20260818-16:02:01_structured_libero_spatial_task_t0_s10_r1,True,success,success,24,1,15,1,0,22,7,3,2,0,0.0
sm,structured,0,9,1,20260818-15:59:58_structured_libero_spatial_task_t0_s9_r1,False,policy_fail,place_stall,40,1,36,0,0,,,1,2,0,0.21
sm,structured,7,6,1,20260818-16:08:38_structured_libero_spatial_task_t7_s6_r1,True,success,success,29,1,16,1,0,25,9,5,4,0,0.0
sm,structured,7,1,1,20260818-16:04:34_structured_libero_spatial_task_t7_s1_r1,True,success,grasp_fail,33,2,,2,2,17,,0,0,0,0.0
sm,structured,7,3,1,20260818-16:04:49_structured_libero_spatial_task_t7_s3_r1,True,success,success,37,2,11,1,1,21,10,10,11,0,0.0
sm,structured,7,2,1,20260818-16:04:37_structured_libero_spatial_task_t7_s2_r1,True,success,success,31,1,13,1,0,29,16,4,11,0,0.14
sm,structured,7,5,1,20260818-16:05:43_structured_libero_spatial_task_t7_s5_r1,False,policy_fail,place_fail,40,4,21,1,1,37,16,6,9,0,0.12
sm,structured,7,4,1,20260818-16:04:52_structured_libero_spatial_task_t7_s4_r1,False,policy_fail,grasp_fail,40,4,,0,0,,,0,0,0,0.0
sm,structured,7,8,1,20260818-16:11:13_structured_libero_spatial_task_t7_s8_r1,False,policy_fail,place_fail,40,2,17,1,1,29,12,7,11,0,0.0
sm,structured,7,9,1,20260818-16:16:53_structured_libero_spatial_task_t7_s9_r1,True,success,success,36,2,18,1,0,34,16,6,7,0,0.29
sm,structured,7,7,1,20260818-16:09:33_structured_libero_spatial_task_t7_s7_r1,False,policy_fail,place_fail,40,5,10,1,1,33,23,9,13,0,0.0
sm,structured,7,10,1,20260818-16:17:27_structured_libero_spatial_task_t7_s10_r1,True,success,success,40,2,15,1,0,38,23,11,8,0,0.25
sm,structured,9,4,1,20260818-16:23:02_structured_libero_spatial_task_t9_s4_r1,True,success,success,18,1,9,1,0,16,7,3,2,0,0.0
sm,structured,9,2,1,20260818-16:21:43_structured_libero_spatial_task_t9_s2_r1,True,success,success,29,1,13,1,0,26,13,5,7,0,0.4
sm,structured,9,5,1,20260818-16:25:37_structured_libero_spatial_task_t9_s5_r1,True,success,success,17,1,8,1,0,15,7,3,2,0,0.0
sm,structured,9,3,1,20260818-16:22:16_structured_libero_spatial_task_t9_s3_r1,False,policy_fail,place_fail,39,3,16,1,1,31,15,7,10,0,0.0
sm,structured,9,1,1,20260818-16:20:31_structured_libero_spatial_task_t9_s1_r1,False,success,place_partial,40,3,7,2,1,26,19,10,12,0,0.0
sm,structured,9,6,1,20260818-16:27:59_structured_libero_spatial_task_t9_s6_r1,True,success,success,31,2,16,1,0,29,13,3,7,0,0.0
sm,structured,9,9,1,20260818-16:30:37_structured_libero_spatial_task_t9_s9_r1,True,success,success,32,2,14,1,0,29,15,4,11,0,0.0
sm,structured,9,8,1,20260818-16:30:14_structured_libero_spatial_task_t9_s8_r1,False,policy_fail,place_fail,40,4,9,3,3,18,9,13,9,0,0.33
sm,baseline,7,2,2,20260818-16:34:28_baseline_libero_spatial_task_t7_s2_r2,True,success,success,33,2,19,1,0,31,12,2,7,0,0.0
sm,structured,9,7,1,20260818-16:28:06_structured_libero_spatial_task_t9_s7_r1,True,success,success,38,3,12,3,2,21,9,10,7,0,0.0
sm,baseline,9,9,2,20260818-16:37:46_baseline_libero_spatial_task_t9_s9_r2,True,success,success,39,1,24,1,0,36,12,5,6,0,0.29
sm,baseline,0,5,2,20260818-16:35:53_baseline_libero_spatial_task_t0_s5_r2,True,success,success,35,1,20,1,0,32,12,4,7,0,0.0
sm,structured,9,10,1,20260818-16:33:23_structured_libero_spatial_task_t9_s10_r1,False,policy_fail,place_fail,40,5,13,2,2,26,13,7,11,0,0.17
