src,cond,task,seed,repeat,result,run_id,n_turns,n_picks,picks_held,n_release,rel_term,first_hold_pick,n_moves,finish_status
pg,baseline,0,9,2,success,20260814-20:52:54_baseline_libero_spatial_task_t0_s9_r2,31,1,1,1,True,1,5,success
pg,baseline,0,9,3,success,20260814-20:53:05_baseline_libero_spatial_task_t0_s9_r3,32,2,2,1,False,1,9,success
pg,hardcap,0,9,1,policy_fail,20260817-16:41:55_hardcap_libero_spatial_task_t0_s9_r1,40,1,1,0,False,1,7,
pg,hardcap,0,9,2,success,20260817-16:47:33_hardcap_libero_spatial_task_t0_s9_r2,36,1,1,1,False,1,5,success
pg,hardcap,0,9,3,success,20260817-16:48:50_hardcap_libero_spatial_task_t0_s9_r3,34,1,1,1,True,1,6,success
pg,ours,0,9,1,success,20260817-14:22:04_ours_libero_spatial_task_t0_s9_r1,40,1,1,1,True,1,5,success
pg,ours,0,9,3,success,20260817-14:24:02_ours_libero_spatial_task_t0_s9_r3,35,1,1,1,True,1,5,success
pg,ours,0,9,2,success,20260817-14:22:36_ours_libero_spatial_task_t0_s9_r2,36,1,1,1,True,1,6,success
sm,structured,0,9,1,policy_fail,20260818-15:59:58_structured_libero_spatial_task_t0_s9_r1,40,1,1,0,False,1,5,
pg,baseline,7,1,1,success,20260814-18:26:09_libero_spatial_task_t7_s1,40,2,2,1,True,1,9,
pg,baseline,7,1,3,policy_fail,20260814-21:18:43_baseline_libero_spatial_task_t7_s1_r3,40,2,2,0,False,1,6,
pg,baseline,7,1,2,policy_fail,20260814-21:18:36_baseline_libero_spatial_task_t7_s1_r2,40,3,3,0,False,1,5,
pg,hardcap,7,1,1,policy_fail,20260817-16:55:37_hardcap_libero_spatial_task_t7_s1_r1,40,3,3,0,False,1,4,
pg,hardcap,7,1,3,policy_fail,20260817-16:58:22_hardcap_libero_spatial_task_t7_s1_r3,40,1,1,0,False,1,5,
pg,hardcap,7,1,2,success,20260817-16:56:36_hardcap_libero_spatial_task_t7_s1_r2,38,1,1,1,True,1,8,success
pg,ours,7,1,1,policy_fail,20260817-14:25:17_ours_libero_spatial_task_t7_s1_r1,40,3,2,0,False,1,4,
pg,ours,7,1,2,policy_fail,20260817-14:29:23_ours_libero_spatial_task_t7_s1_r2,40,1,1,0,False,1,5,
pg,ours,7,1,3,policy_fail,20260817-14:30:16_ours_libero_spatial_task_t7_s1_r3,40,3,0,0,False,,11,
sm,structured,7,1,1,success,20260818-16:04:34_structured_libero_spatial_task_t7_s1_r1,33,2,0,2,False,,8,success
pg,baseline,7,10,1,success,20260814-14:09:41_libero_spatial_task_t7_s10,40,1,1,1,True,1,8,success
pg,baseline,7,10,2,policy_fail,20260814-23:26:36_baseline_libero_spatial_task_t7_s10_r2,40,2,1,0,False,2,7,
pg,baseline,7,10,3,policy_fail,20260814-23:27:05_baseline_libero_spatial_task_t7_s10_r3,40,2,1,1,False,1,8,
pg,hardcap,7,10,1,success,20260817-17:38:14_hardcap_libero_spatial_task_t7_s10_r1,40,3,2,1,True,2,8,
pg,hardcap,7,10,2,policy_fail,20260817-17:39:05_hardcap_libero_spatial_task_t7_s10_r2,40,1,1,0,False,1,7,
pg,hardcap,7,10,3,success,20260817-17:42:02_hardcap_libero_spatial_task_t7_s10_r3,35,1,1,1,True,1,6,success
pg,ours,7,10,1,policy_fail,20260817-15:08:33_ours_libero_spatial_task_t7_s10_r1,40,4,2,1,False,3,8,
pg,ours,7,10,2,success,20260817-15:11:28_ours_libero_spatial_task_t7_s10_r2,38,1,1,1,True,1,5,success
pg,ours,7,10,3,success,20260817-15:11:52_ours_libero_spatial_task_t7_s10_r3,40,1,1,1,True,1,11,
sm,structured,7,10,1,success,20260818-16:17:27_structured_libero_spatial_task_t7_s10_r1,40,2,2,1,True,1,13,success
pg,baseline,7,2,1,success,20260814-18:26:09_libero_spatial_task_t7_s2,37,1,1,1,True,1,7,success
pg,baseline,7,2,3,policy_fail,20260814-21:34:48_baseline_libero_spatial_task_t7_s2_r3,40,1,1,0,False,1,7,
pg,baseline,7,2,2,success,20260814-21:34:35_baseline_libero_spatial_task_t7_s2_r2,39,2,2,1,False,1,7,success
